[17/05/2025 23:26:47 - INFO] Discord Presence activated
[17/05/2025 23:26:47 - INFO] Creating discord-rpc client
[17/05/2025 23:26:47 - INFO] Successfully connected to Discord
[17/05/2025 23:26:47 - DEBUG] Loading git extension
[17/05/2025 23:26:47 - TRACE] VSCode language id: ini
[17/05/2025 23:28:14 - TRACE] VSCode language id: ini
[17/05/2025 23:28:16 - TRACE] VSCode language id: ini
[17/05/2025 23:28:21 - TRACE] VSCode language id: ini
[17/05/2025 23:28:23 - TRACE] VSCode language id: ini
[17/05/2025 23:28:27 - TRACE] VSCode language id: ini
[17/05/2025 23:28:29 - TRACE] VSCode language id: ini
[17/05/2025 23:29:05 - TRACE] VSCode language id: css
[17/05/2025 23:29:09 - TRACE] VSCode language id: css
[17/05/2025 23:29:10 - TRACE] VSCode language id: css
[17/05/2025 23:29:12 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:28 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:30 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:37 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:39 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:40 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:42 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:45 - TRACE] VSCode language id: plaintext
[17/05/2025 23:30:47 - TRACE] VSCode language id: plaintext
[17/05/2025 23:36:06 - TRACE] VSCode language id: plaintext
[17/05/2025 23:36:24 - TRACE] VSCode language id: ini
[17/05/2025 23:36:27 - TRACE] VSCode language id: ini
[17/05/2025 23:36:29 - TRACE] VSCode language id: ini
[17/05/2025 23:36:34 - TRACE] VSCode language id: ini
[17/05/2025 23:36:36 - TRACE] VSCode language id: ini
[17/05/2025 23:36:38 - TRACE] VSCode language id: ini
[17/05/2025 23:37:46 - TRACE] VSCode language id: ini
[17/05/2025 23:37:48 - TRACE] VSCode language id: ini
[17/05/2025 23:37:54 - TRACE] VSCode language id: ini
[17/05/2025 23:37:56 - TRACE] VSCode language id: ini
[17/05/2025 23:38:01 - TRACE] VSCode language id: ini
[17/05/2025 23:38:03 - TRACE] VSCode language id: ini
[17/05/2025 23:38:28 - TRACE] VSCode language id: ini
[17/05/2025 23:38:31 - TRACE] VSCode language id: ini
[17/05/2025 23:38:42 - TRACE] VSCode language id: ini
[17/05/2025 23:38:44 - TRACE] VSCode language id: ini
[17/05/2025 23:38:46 - TRACE] VSCode language id: ini
[17/05/2025 23:38:48 - TRACE] VSCode language id: ini
[17/05/2025 23:39:53 - TRACE] VSCode language id: properties
[17/05/2025 23:40:01 - TRACE] VSCode language id: properties
[17/05/2025 23:40:03 - TRACE] VSCode language id: properties
[17/05/2025 23:40:22 - TRACE] VSCode language id: properties
[17/05/2025 23:40:24 - TRACE] VSCode language id: properties
[17/05/2025 23:42:41 - TRACE] VSCode language id: properties
[17/05/2025 23:42:43 - TRACE] VSCode language id: properties
[17/05/2025 23:42:53 - TRACE] VSCode language id: properties
[17/05/2025 23:42:55 - TRACE] VSCode language id: properties
[17/05/2025 23:43:07 - TRACE] VSCode language id: ini
[17/05/2025 23:43:08 - TRACE] VSCode language id: ini
[17/05/2025 23:43:10 - TRACE] VSCode language id: ini
[17/05/2025 23:43:17 - TRACE] VSCode language id: ini
[17/05/2025 23:43:19 - TRACE] VSCode language id: ini
[17/05/2025 23:43:22 - TRACE] VSCode language id: ini
[17/05/2025 23:43:24 - TRACE] VSCode language id: ini
[17/05/2025 23:43:35 - TRACE] VSCode language id: ini
[17/05/2025 23:43:37 - TRACE] VSCode language id: ini
[17/05/2025 23:46:03 - TRACE] VSCode language id: ini
[17/05/2025 23:46:05 - TRACE] VSCode language id: ini
[17/05/2025 23:46:43 - TRACE] VSCode language id: json
[17/05/2025 23:50:33 - TRACE] VSCode language id: plaintext
[17/05/2025 23:50:43 - TRACE] VSCode language id: json
[17/05/2025 23:50:45 - TRACE] VSCode language id: json
[17/05/2025 23:50:47 - TRACE] VSCode language id: json
[17/05/2025 23:50:49 - TRACE] VSCode language id: json
[17/05/2025 23:50:51 - TRACE] VSCode language id: json
[17/05/2025 23:51:11 - TRACE] VSCode language id: css
[17/05/2025 23:52:39 - TRACE] VSCode language id: json
[17/05/2025 23:52:40 - TRACE] VSCode language id: css
[17/05/2025 23:52:43 - TRACE] VSCode language id: json
[17/05/2025 23:53:29 - TRACE] VSCode language id: json
[17/05/2025 23:53:31 - TRACE] VSCode language id: json
[17/05/2025 23:54:18 - TRACE] VSCode language id: plaintext
[17/05/2025 23:54:18 - TRACE] VSCode language id: plaintext
[17/05/2025 23:54:20 - TRACE] VSCode language id: plaintext
[17/05/2025 23:54:32 - TRACE] VSCode language id: plaintext
[17/05/2025 23:54:34 - TRACE] VSCode language id: plaintext
[17/05/2025 23:54:35 - TRACE] VSCode language id: plaintext
[17/05/2025 23:54:37 - TRACE] VSCode language id: plaintext
[17/05/2025 23:55:18 - TRACE] VSCode language id: plaintext
[17/05/2025 23:55:20 - TRACE] VSCode language id: plaintext
[17/05/2025 23:55:45 - TRACE] VSCode language id: plaintext
[17/05/2025 23:55:47 - TRACE] VSCode language id: plaintext
[17/05/2025 23:56:13 - TRACE] VSCode language id: plaintext
[17/05/2025 23:56:15 - TRACE] VSCode language id: plaintext
[17/05/2025 23:56:16 - TRACE] VSCode language id: plaintext
[17/05/2025 23:56:18 - TRACE] VSCode language id: plaintext
[17/05/2025 23:56:39 - TRACE] VSCode language id: plaintext
[17/05/2025 23:56:43 - TRACE] VSCode language id: shellscript
[17/05/2025 23:56:47 - TRACE] VSCode language id: shellscript
[17/05/2025 23:56:52 - TRACE] VSCode language id: shellscript
