[18/05/2025 04:33:17 - INFO] Discord Presence activated
[18/05/2025 04:33:17 - INFO] Creating discord-rpc client
[18/05/2025 04:33:17 - ERROR] Encountered following error while trying to login:
COULD_NOT_CONNECT: Could not connect
[18/05/2025 04:33:17 - DEBUG] Loading git extension
[18/05/2025 04:33:17 - TRACE] Git extension not activated, activating...
[18/05/2025 05:03:56 - INFO] Disable: Cleaning up old listeners
[18/05/2025 05:03:56 - INFO] Disable: Destroyed the rpc instance
[18/05/2025 05:03:56 - INFO] Enable: Cleaning up old listeners
[18/05/2025 05:03:56 - INFO] Enable: Attempting to recreate login
[18/05/2025 05:03:56 - INFO] Creating discord-rpc client
[18/05/2025 05:03:56 - INFO] Successfully connected to Discord
[18/05/2025 05:03:56 - TRACE] VSCode language id: shellscript
[18/05/2025 05:03:59 - TRACE] VSCode language id: shellscript
[18/05/2025 05:04:01 - TRACE] VSCode language id: shellscript
[18/05/2025 05:04:05 - TRACE] VSCode language id: properties
[18/05/2025 05:04:07 - TRACE] VSCode language id: properties
[18/05/2025 05:04:09 - TRACE] VSCode language id: properties
[18/05/2025 05:06:20 - TRACE] VSCode language id: shellscript
[18/05/2025 05:06:25 - TRACE] VSCode language id: shellscript
[18/05/2025 05:06:27 - TRACE] VSCode language id: shellscript
[18/05/2025 05:06:42 - TRACE] VSCode language id: shellscript
[18/05/2025 05:06:53 - TRACE] VSCode language id: properties
[18/05/2025 05:06:57 - TRACE] VSCode language id: properties
[18/05/2025 05:06:59 - TRACE] VSCode language id: properties
[18/05/2025 05:07:15 - TRACE] VSCode language id: json
[18/05/2025 05:08:00 - TRACE] VSCode language id: json
[18/05/2025 05:08:02 - TRACE] VSCode language id: json
[18/05/2025 05:08:03 - TRACE] VSCode language id: json
[18/05/2025 05:08:05 - TRACE] VSCode language id: json
[18/05/2025 05:10:06 - TRACE] VSCode language id: json
[18/05/2025 05:10:08 - TRACE] VSCode language id: json
[18/05/2025 05:10:23 - TRACE] VSCode language id: shellscript
[18/05/2025 05:10:37 - TRACE] VSCode language id: shellscript
[18/05/2025 05:10:39 - TRACE] VSCode language id: shellscript
[18/05/2025 05:10:42 - TRACE] VSCode language id: shellscript
[18/05/2025 05:10:44 - TRACE] VSCode language id: shellscript
[18/05/2025 05:10:57 - TRACE] VSCode language id: json
[18/05/2025 05:11:00 - TRACE] VSCode language id: json
[18/05/2025 05:11:02 - TRACE] VSCode language id: json
[18/05/2025 05:11:07 - TRACE] VSCode language id: json
[18/05/2025 05:11:09 - TRACE] VSCode language id: json
[18/05/2025 05:11:11 - TRACE] VSCode language id: json
[18/05/2025 05:11:22 - TRACE] VSCode language id: json
[18/05/2025 05:11:24 - TRACE] VSCode language id: json
[18/05/2025 05:11:40 - TRACE] VSCode language id: json
[18/05/2025 05:11:42 - TRACE] VSCode language id: json
[18/05/2025 05:11:50 - TRACE] VSCode language id: json
[18/05/2025 05:11:52 - TRACE] VSCode language id: json
[18/05/2025 05:11:53 - TRACE] VSCode language id: json
[18/05/2025 05:11:55 - TRACE] VSCode language id: json
[18/05/2025 05:12:15 - TRACE] VSCode language id: json
[18/05/2025 05:12:17 - TRACE] VSCode language id: json
[18/05/2025 05:12:21 - TRACE] VSCode language id: json
[18/05/2025 05:12:29 - TRACE] VSCode language id: json
[18/05/2025 05:12:31 - TRACE] VSCode language id: json
[18/05/2025 05:12:38 - TRACE] VSCode language id: json
[18/05/2025 05:12:45 - TRACE] VSCode language id: json
[18/05/2025 05:12:47 - TRACE] VSCode language id: json
[18/05/2025 05:12:50 - TRACE] VSCode language id: json
[18/05/2025 05:12:54 - TRACE] VSCode language id: json
[18/05/2025 05:12:56 - TRACE] VSCode language id: json
[18/05/2025 05:12:56 - TRACE] VSCode language id: json
[18/05/2025 05:13:12 - TRACE] VSCode language id: json
[18/05/2025 05:13:14 - TRACE] VSCode language id: json
[18/05/2025 05:13:16 - TRACE] VSCode language id: json
[18/05/2025 05:13:18 - TRACE] VSCode language id: json
[18/05/2025 05:13:20 - TRACE] VSCode language id: json
[18/05/2025 05:13:23 - TRACE] VSCode language id: json
[18/05/2025 05:13:24 - TRACE] VSCode language id: json
[18/05/2025 05:13:42 - TRACE] VSCode language id: json
[18/05/2025 05:13:44 - TRACE] VSCode language id: json
[18/05/2025 05:13:57 - TRACE] VSCode language id: json
[18/05/2025 05:14:00 - TRACE] VSCode language id: json
